path	candidate_count	checkbox	action	status	action_heading	table_row
docs/v11/v11.p03-2026-07-02-brainstorming-caliber-inconsistency.md	56	0	55	12	3	19
docs/v11/v11.p04-2026-07-03-brainstorming-caliber-inconsistency.md	60	10	43	7	5	15
docs/v11/v11.p04-2026-07-03-implement-position-decision.md	48	12	35	4	4	13
docs/v11/v11.p05-2026-07-03-implement-candidate-filter.md	63	11	52	7	7	14
docs/v11/v11.p05-2026-07-04-brainstorming-caliber-inconsistency.md	66	8	52	15	11	12
docs/v11/v11.p05p-2026-07-04-brainstorming-wrapup-v2.md	64	0	61	3	4	19
docs/v11/v11.p05p-2026-07-04-brainstorming-wrapup-v3.md	39	0	38	6	6	6
docs/v11/v11.p05p-2026-07-04-implement-candidate-screener.md	40	0	35	5	4	15
docs/v11/v11.p05p-2026-07-04-implement-followups-v4.md	32	0	32	1	7	2
docs/v11/v11.x-2026-07-04-grill-with-docs-decision-index.md	44	0	44	0	3	11
docs/v12-template-verify-2026-07-05.md	23	0	2	23	0	19
docs/v12-模板验证-2026-07-05.md	23	0	2	23	0	19
docs/v12/README.md	7	0	7	0	1	2
docs/v12/v12.0-2026-07-04-implement-trading-assistant.md	100	13	82	9	6	18
docs/v12/v12.0-2026-07-05-acceptance-mvp0.md	52	0	27	33	2	25
docs/v12/v12.0-2026-07-05-brainstorming-push-templates.md	20	0	16	5	4	2
docs/v12/v12.0-2026-07-05-implement-e2e-real-push.md	38	0	21	20	6	21
docs/v12/v12.0-2026-07-05-implement-monitor-test.md	49	0	39	10	8	6
docs/v12/v12.0-2026-07-05-implement-template-validation.md	23	0	2	23	0	19
docs/v12/v12.0-2026-07-05-progress-mvp.md	36	0	23	15	1	18
docs/v12/v12.0-2026-07-05-review-push-uncertainty.md	45	0	45	5	18	0
docs/v12/v12.0-2026-07-05-writing-plans-dev-plan.md	46	0	36	10	1	36
docs/v12/v12.0-2026-07-06-grill-with-docs-audit-state.md	46	0	39	17	1	26
docs/v12/v12.p03fix-2026-07-02-changelog-ipos-suspension.md	38	5	33	8	8	15
docs/v13/README.md	17	0	17	0	3	9
docs/v13/b002-2026-07-09-diagnosing-bugs-no-sector-attribution.md	15	0	9	6	2	4
docs/v13/b003-2026-07-09-diagnosing-bugs-event-extractor-dup.md	26	0	24	2	6	1
docs/v13/b004-2026-07-09-diagnosing-bugs-position-impact-noise.md	12	0	11	1	3	1
docs/v13/b005-2026-07-09-diagnosing-bugs-v13-templates-unfired.md	27	0	11	19	2	17
docs/v13/b006-2026-07-11-grill-with-docs-v13-content-audit.md	140	0	88	65	14	72
docs/v13/b007-2026-07-11-grill-with-docs-v13-e2e-audit.md	103	0	59	49	5	73
docs/v13/v13.0-2026-07-05-brainstorming-push-templates-spec-active.md	26	0	21	6	4	4
docs/v13/v13.0-2026-07-06-brainstorming-push-templates.md	146	0	110	41	22	96
docs/v13/v13.0-2026-07-06-executing-plans-push-templates-impl-log.md	9	0	7	2	1	7
docs/v13/v13.0-2026-07-06-grill-with-docs-push-templates-audit.md	90	0	33	70	1	69
docs/v13/v13.0-2026-07-06-implement-push-templates.md	162	90	78	10	13	15
docs/v13/v13.0-2026-07-06-operations-release-notes.md	25	12	12	4	1	1
docs/v13/v13.0-2026-07-08-operations-push-templates-deployment.md	30	0	22	9	12	12
docs/v13/v13.10.1-2026-07-08-operations-release-notes.md	19	0	11	9	3	6
docs/v13/v13.14-2026-07-06-brainstorming-push-template-refactor.md	32	9	19	7	5	4
docs/v13/v13.15-2026-07-06-brainstorming-push-simplify.md	28	6	16	8	4	1
docs/v13/v13.16-2026-07-06-brainstorming-remove-demo-data.md	27	7	16	7	7	0
docs/v13/v13.29-2026-07-07-brainstorming-d01-dispatcher.md	42	0	32	17	5	4
docs/v13/v13.29-2026-07-07-implement-d01-dispatcher.md	54	21	30	7	3	10
docs/v14.x/README.md	12	0	11	1	1	6
docs/v14.x/b008-2026-07-11-review-v14.2-b007-resolution.md	119	0	101	39	12	68
docs/v14.x/b009-2026-07-11-review-v14.2-r2.md	101	0	90	21	11	27
docs/v14.x/b010-2026-07-11-diagnosing-bugs-silent-fallback-plan.md	40	0	39	2	7	17
docs/v14.x/b011-2026-07-11-review-v14.2-live-integration-audit.md	61	0	52	13	14	20
docs/v14.x/b012-2026-07-12-fix-b011-live-integration.md	33	0	30	3	2	17
docs/v14.x/b012-review-findings.json	7	0	4	4	0	0
docs/v14.x/b013-2026-07-12-fix-b012-review.md	30	0	29	2	5	18
docs/v14.x/v14.0-2026-07-08-brainstorming-qmt-integration.md	26	7	19	2	5	7
docs/v14.x/v14.0-2026-07-08-implement-qmt-integration.md	76	44	21	26	0	1
docs/v14.x/v14.1-2026-07-08-brainstorming-sina-baostock-integration.md	62	11	44	9	15	15
docs/v14.x/v14.1-2026-07-08-implement-sina-baostock-integration.md	118	72	35	33	4	4
docs/v14.x/v14.1-2026-07-08-operations-broker-api-integration.md	18	0	16	2	3	3
docs/v14.x/v14.1-2026-07-10-brainstorming-news-aggregation-rsshub.md	55	0	49	7	4	21
docs/v14.x/v14.1-2026-07-11-writing-plans-dev-plan.md	97	34	71	11	8	14
docs/v14.x/v14.2-2026-07-11-brainstorming-push-architecture-active.md	196	0	188	10	63	45
docs/v14.x/v14.2-2026-07-11-brainstorming-push-postmortem.md	50	0	48	2	19	0
docs/v14.x/v14.2-2026-07-11-implement-push-templates-remediation.md	77	0	71	9	15	24
docs/v14.x/v14.x-2026-07-11-writing-plans-master-development.md	98	14	80	8	11	46
docs/v15.x/dead-pushkinds.md	10	0	10	0	1	5
docs/v15.x/news-consolidation-plan.md	9	0	9	0	5	0
docs/v15.x/post-mortem-v15.1.1.md	23	5	15	7	0	0
docs/v15.x/v15-plan-news-stock-analysis.md	17	0	7	11	0	10
docs/v15.x/v15.3-phase-d-expansion.md	75	60	10	9	1	6
docs/v16.x/v16.1-virtual-trading-redesign.md	95	40	56	6	11	8
docs/v16.x/v16.2-trading-kernel-redesign.md	88	36	43	12	12	9
docs/v16.x/v16.3-development-plan.md	70	14	55	3	18	3
docs/v16.x/v16.3-domain-model-event-driven.md	145	45	53	52	18	20
docs/v16.x/v16.4-design.md	38	0	33	5	7	7
docs/v16.x/v16.4-development-plan.md	41	0	38	4	9	9
docs/v16.x/v16.5-design.md	46	0	37	13	6	12
docs/v16.x/v16.5-development-plan.md	38	0	34	5	8	10
docs/v16.x/v16.6-design.md	23	0	14	10	1	7
docs/v16.x/v16.6-development-plan.md	16	0	13	5	3	6
docs/v16.x/v16.7-design.md	43	0	25	22	9	14
docs/v16.x/v16.7-development-plan.md	31	0	26	7	13	8
docs/v16.x/v16.8-design.md	20	0	10	10	1	5
docs/v16.x/v16.8-development-plan.md	20	0	14	6	5	6
docs/v17.x/v17.1-push-timing-redesign.md	47	0	35	14	5	13
docs/v17.x/v17.1-r2-event-infrastructure.md	133	0	105	32	16	51
docs/v17.x/v17.2-eventbus-broadcast-persistence.md	58	0	40	22	6	16
docs/v17.x/v17.3-migration-and-persistence.md	100	0	87	16	7	26
docs/v17.x/v17.4-news-and-review.md	131	15	82	54	10	47
docs/v17.x/v17.5-batch2-push-migration.md	128	8	83	49	13	47
docs/v17.x/v17.6-batch3-push-migration.md	78	8	49	28	11	25
docs/v17.x/v17.7-batch4-dead-code-cleanup.md	86	7	64	24	13	28
docs/v17.x/v17.8-final-batch-cleanup.md	102	8	68	37	16	33
docs/v17.x/v17.x-dev-plan-revised.md	35	5	13	19	1	20
docs/v17.x/v17.x-dev-plan.md	46	5	35	10	4	14
docs/v18.x/README.md	2	0	2	0	0	0
docs/v18.x/v18.0-2026-07-16-brainstorming-quant-platform-closure-design-active.md	9	0	5	4	0	0
docs/v18.x/v18.0-2026-07-16-codebase-design-four-core-modules.md	28	0	27	1	2	1
docs/v18.x/v18.0-2026-07-16-review-quant-platform-assessment.md	9	0	9	1	0	7
docs/v18.x/v18.0-2026-07-16-writing-plans-implementation-roadmap.md	3	0	1	2	0	1
docs/v9-known-bugs-已知bug清单-2026-06-28.md	50	0	50	0	7	16
docs/v9.4-changelog-流程纪律与审计-2026-06-30.md	51	0	32	22	2	5
docs/v9.4-review-output-诊断-codex-2026-06-30.md	92	26	72	26	10	19
docs/v9.x/README.md	14	0	14	1	2	10
docs/v9.x/v8-2026-06-16-brainstorming-opportunity-regression.md	46	0	45	6	3	35
docs/v9.x/v8-2026-06-16-implement-opportunity-regression.md	43	0	39	7	10	10
docs/v9.x/v9.0-2026-06-21-brainstorming-p0-risk-unification.md	69	0	59	13	14	26
docs/v9.x/v9.0-2026-06-21-implement-p0-risk-unification.md	146	106	31	21	11	9
docs/v9.x/v9.0-2026-06-21-review-p0.md	26	10	21	2	3	5
docs/v9.x/v9.0-2026-06-21-review-quant-institutional.md	153	48	118	20	15	26
docs/v9.x/v9.0-2026-06-25-executing-plans-codebase-optimization.md	193	112	79	11	11	18
docs/v9.x/v9.0-2026-06-27-brainstorming-opportunity-pipeline.md	86	0	73	24	4	48
docs/v9.x/v9.0-2026-06-28-brainstorming-project-design.md	78	0	77	6	9	39
docs/v9.x/v9.0-2026-06-28-diagnosing-bugs-known-bugs.md	50	0	50	0	7	16
docs/v9.x/v9.1-2026-06-28-benchmark-rule-filter.md	25	0	13	12	2	14
docs/v9.x/v9.1-2026-06-28-brainstorming-event-extractor-design.md	28	8	15	8	2	7
docs/v9.x/v9.1-2026-06-28-brainstorming-opportunity-pipeline-fix.md	59	0	59	0	16	22
docs/v9.x/v9.1-2026-06-28-implement-event-extractor.md	69	26	57	1	5	3
docs/v9.x/v9.2-2026-06-29-grill-with-docs-project-audit.md	74	0	69	5	13	17
docs/v9.x/v9.4-2026-06-22-grill-with-docs-optimization.md	94	0	94	1	39	4
docs/v9.x/v9.4-2026-06-25-review-architecture.md	34	0	28	7	7	8
docs/v9.x/v9.4-2026-06-29-brainstorming-process-discipline.md	70	11	51	13	5	20
docs/v9.x/v9.4-2026-06-29-implement-process-discipline.md	122	0	87	42	16	10
docs/v9.x/v9.4-2026-06-30-changelog-process-discipline.md	51	0	32	22	2	5
docs/v9.x/v9.4-2026-06-30-grill-with-docs-review-output-codex.md	92	26	72	26	10	19
docs/v9.x/v9.4-2026-06-30-grill-with-docs-review-output.md	35	0	27	8	10	12
docs/v9.x/v9.4-2026-06-30-review-ai-berkshire.html	94	0	75	25	0	3
docs/v9.x/v9.4-2026-06-30-review-remaining-issues.md	48	0	43	7	9	27
docs/v9.x/v9.4-2026-06-30-rootcause-E-freshness-bypass.md	50	23	25	11	6	6
docs/v9.x/v9.4-2026-06-30-rootcause-F-tool-silent-fallback.md	66	19	58	3	8	7
docs/v9.x/v9.4-2026-06-30-rootcause-G-no-fast-fail.md	68	22	44	11	7	8
docs/v9.x/v9.4-reports-README.md	7	0	7	0	1	1
docs/v9.x/v9.4-reviews-README.md	6	0	6	0	0	3
docs/v9.x/v9.4-root-causes-README.md	28	0	26	5	5	11
docs/业务规则清单-registry.md	35	0	35	4	0	33
reports/backtest_report_20260305.md	2	0	1	1	0	2
reports/macro_recommendations_20260305.md	27	0	26	1	0	5
reports/sentiment_score_IC_IR_analysis-2026-06-29.md	14	0	14	0	0	7
reports/stock_analysis_20260305.md	165	0	36	129	4	74
