claim_id	source	line_range	claim_type	claim_text	normalized_requirement	superseded_by	implementation	production_caller	tests	failure_path	rules	status	confidence	notes
E000011	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	154	completion_claim	✅ risk::stop_loss::check_stops() [v7 接入复盘流程，复用已拉 K 线]	✅ risk::stop_loss::check_stops() [v7 接入复盘流程，复用已拉 K 线]		src/bin/monitor/main.rs:4390;src/bin/monitor/main.rs:4425;src/bin/monitor/main.rs:4378	src/bin/monitor/main.rs:4390;src/bin/monitor/main.rs:4425;src/bin/monitor/main.rs:4378	src/bin/monitor/main.rs:4390;src/bin/monitor/main.rs:4425;src/bin/monitor/main.rs:4378			unverifiable	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000012	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	158	completion_claim	✅ decision::rotation::judge_trend() [v7 接入复盘流程，复用已拉 K 线]	✅ decision::rotation::judge_trend() [v7 接入复盘流程，复用已拉 K 线]		src/bin/monitor/main.rs:4789;src/decision/rotation.rs:38	src/bin/monitor/main.rs:4789	src/bin/monitor/main.rs:4789;src/decision/rotation.rs:38			unverifiable	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000013	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	171	feature	> **现金风控当前未生效**：系统暂无真实现金余额来源（`snapshot_portfolio_value` 写入 `cash: 0.0`），	> **现金风控当前未生效**：系统暂无真实现金余额来源（`snapshot_portfolio_value` 写入 `cash: 0.0`），		src/bin/monitor/main.rs:2909;src/bin/monitor/main.rs:4667;candidate:src/risk/veto_chain.rs,src/risk/action_gate.rs,src/trading/risk_adapter.rs	src/bin/monitor/main.rs:2909;src/bin/monitor/main.rs:4667	src/bin/monitor/main.rs:2909;src/bin/monitor/main.rs:4667		2.6	partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000014	docs/_archive/pre-v9-history/architecture-overview-2026-06-16.md	172	feature	> 故 `cash_guard` 不接入以免假告警。资金占比红线需券商资金接口或手工录入支持后方可启用。	> 故 `cash_guard` 不接入以免假告警。资金占比红线需券商资金接口或手工录入支持后方可启用。		src/bin/monitor/main.rs:3023;src/bin/monitor/main.rs:3025;candidate:src/broker.rs,src/bin/monitor/health.rs	src/bin/monitor/main.rs:3023;src/bin/monitor/main.rs:3025	src/bin/monitor/main.rs:3023;src/bin/monitor/main.rs:3025	src/trading/paper_trade.rs:153		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000015	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	3	bug	> 基于 v1 的七个问题纠正。原则：AGENTS.md "Simplicity First"，不改动已有可工作代码。	> 基于 v1 的七个问题纠正。原则：AGENTS.md "Simplicity First"，不改动已有可工作代码。			src/bin/monitor/freshness.rs:8;src/bin/monitor/freshness.rs:28	src/agent/validation.rs:51;src/agent/validation.rs:64	config/strategy.toml:15;src/bin/monitor/freshness.rs:28		unresolved	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000016	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	10	bug	| v1 错误 | 根因 | 纠正 |	| v1 错误 | 根因 | 纠正 |							unresolved	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000017	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	13	todo_deferred	| 缺券商端口 | 设计时忘了"实盘"的含义 | 新增 `src/broker/` — CSV 录入，后续可扩展券商 API |	| 缺券商端口 | 设计时忘了"实盘"的含义 | 新增 `src/broker/` — CSV 录入，后续可扩展券商 API |		src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22;candidate:src/broker.rs	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/broker.rs:118;src/broker.rs:151		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000018	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	15	feature	| 盘后复盘 = 空壳 Checklist | 没理解"个人复盘"需求 | 新增 `src/review/` — 交易日志 + 盈亏归因 |	| 盘后复盘 = 空壳 Checklist | 没理解"个人复盘"需求 | 新增 `src/review/` — 交易日志 + 盈亏归因 |						2.4	unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000019	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	48	feature	**核心原则（替代 Clean Architecture 四层）：**	*核心原则（替代 Clean Architecture 四层）：**	**核心原则（替代 Clean Architecture 四层）：**						superseded	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000020	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	51	feature	2. **新增功能 = 新模块，不重构旧模块** — broker/、review/ 独立添加	**新增功能 = 新模块，不重构旧模块** — broker/、review/ 独立添加		candidate:src/broker.rs,src/bin/monitor/health.rs					unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000021	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	57	feature	### 3.1 broker/ — 券商网关（新增，~300 行）	3.1 broker/ — 券商网关（新增，~300 行）		candidate:src/broker.rs,src/bin/monitor/health.rs					unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000022	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	102	feature	- 先只实现 `manual.rs`（从 `data/positions.csv` + `data/trades.csv` 读）	先只实现 `manual.rs`（从 `data/positions.csv` + `data/trades.csv` 读）		src/app/bootstrap.rs:387;src/app/bootstrap.rs:389;src/bin/boll_macd_backtest.rs:160;src/bin/boll_macd_backtest.rs:161	src/bin/monitor/main.rs:1515;src/bin/monitor/main.rs:2793;src/bin/monitor/main.rs:332	src/bin/monitor/main.rs:1515;src/bin/monitor/main.rs:2793;src/bin/monitor/main.rs:332	src/opportunity/mod.rs:1702;src/trading/paper_engine.rs:83;src/database/mod.rs:368;src/database/mod.rs:369		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000023	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	103	todo_deferred	- 券商 API 接入作为后续扩展，不阻塞上线	券商 API 接入作为后续扩展，不阻塞上线		candidate:src/broker.rs,src/bin/monitor/health.rs					unresolved	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000024	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	106	feature	### 3.2 review/ — 盘后复盘（新增，~500 行）	3.2 review/ — 盘后复盘（新增，~500 行）							unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000025	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	170	completion_claim	自评：4/5 底部筹码集中+军工催化 ✅	自评：4/5 底部筹码集中+军工催化 ✅							unverifiable	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000026	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	174	feature	BIAS_5：+12% 过高预警 ⚠️ 注意回调	BIAS_5：+12% 过高预警 ⚠️ 注意回调		src/monitor/news_ai.rs:88		src/monitor/news_ai.rs:88			partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000027	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	190	feature	**唯一改动**：在 `bin/monitor.rs` 的选股推荐（`run_stock_screener`）中调用 `trend_analyzer::analyze_stock()` 输出完整的多指标研判，替代当前的简陋推荐。	*唯一改动**：在 `bin/monitor.rs` 的选股推荐（`run_stock_screener`）中调用 `trend_analyzer::analyze_stock()` 输出完整的多指标研判，替代当前的简陋推荐。	**唯一改动**：在 `bin/monitor.rs` 的选股推荐（`run_stock_screener`）中调用 `trend_analyzer::analyze_stock()` 输出完整的多指标研判，替代当前的简陋推荐。	src/agent/multi_agent/cost_board.rs:14;src/auth/mod.rs:3;src/bin/monitor/main.rs:9629;src/bin/monitor/main.rs:10528;src/breakout/mod.rs:5	src/bin/monitor/dryrun_report.rs:81;src/bin/monitor/e2e_test.rs:5;src/bin/monitor/main.rs:9629;src/bin/monitor/main.rs:10528	src/agent/multi_agent/cost_board.rs:14;src/auth/operator.rs:3;src/bin/monitor/main.rs:9629;src/bin/monitor/main.rs:10528	src/auth/mod.rs:4;src/auth/operator.rs:4		superseded	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000028	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	198	bug	## 四、需要修的真问题	四、需要修的真问题							unresolved	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000029	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	202	acceptance	`backtest` 和 `monitor` 必须用同一套信号逻辑。当前 `detector.rs` 和 `strategy/` 各自判断。	`backtest` 和 `monitor` 必须用同一套信号逻辑。当前 `detector.rs` 和 `strategy/` 各自判断。		src/lib.rs:55;src/lib.rs:157;src/agent/multi_agent/cost_board.rs:14;src/auth/mod.rs:3;src/bin/monitor/main.rs:31;candidate:src/pipeline/backtest_runner.rs,src/opportunity/winrate.rs	src/bin/monitor/dryrun_report.rs:81;src/bin/monitor/e2e_test.rs:5;src/bin/monitor/main.rs:31;src/bin/monitor/main.rs:2677	src/lib.rs:55;src/lib.rs:157;src/agent/multi_agent/cost_board.rs:14;src/auth/operator.rs:3	src/auth/mod.rs:4;src/auth/operator.rs:4;src/config.rs:629;src/config.rs:640		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000030	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	225	feature	## 六、新增文件清单	六、新增文件清单							unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000031	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	229	feature	| `src/broker/mod.rs` | ~50 | BrokerGateway trait + Trade/Position 结构 | P0 |	| `src/broker/mod.rs` | ~50 | BrokerGateway trait + Trade/Position 结构 | P0 |		src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22;candidate:src/broker.rs	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/broker.rs:118;src/broker.rs:151		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000032	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	230	feature	| `src/broker/manual.rs` | ~150 | CSV 持仓/成交读取 | P0 |	| `src/broker/manual.rs` | ~150 | CSV 持仓/成交读取 | P0 |		src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22;candidate:src/broker.rs	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/broker.rs:118;src/broker.rs:151		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000033	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	231	feature	| `src/review/mod.rs` | ~30 | 复盘入口 | P0 |	| `src/review/mod.rs` | ~30 | 复盘入口 | P0 |		src/review/mod.rs					partial	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000034	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	232	todo_deferred	| `src/review/trade_journal.rs` | ~180 | 交易日志 + 后续走势追踪 | P0 |	| `src/review/trade_journal.rs` | ~180 | 交易日志 + 后续走势追踪 | P0 |						2.4	unresolved	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000035	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	233	feature	| `src/review/pnl_attribution.rs` | ~150 | 盈亏归因（选股/择时/仓位） | P1 |	| `src/review/pnl_attribution.rs` | ~150 | 盈亏归因（选股/择时/仓位） | P1 |							unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000036	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	234	feature	| `src/review/equity_curve.rs` | ~100 | 净值曲线 + 最大回撤 + 夏普 | P1 |	| `src/review/equity_curve.rs` | ~100 | 净值曲线 + 最大回撤 + 夏普 | P1 |		src/bin/monitor/main.rs:1529;src/bin/monitor/main.rs:1533	src/bin/monitor/main.rs:1529;src/bin/monitor/main.rs:1533	src/bin/monitor/main.rs:1529;src/bin/monitor/main.rs:1533	src/bin/monitor/main.rs:3415;src/bin/monitor/main.rs:5454		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000037	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	235	feature	| `src/review/daily_report.rs` | ~120 | 每日复盘报告格式化 | P0 |	| `src/review/daily_report.rs` | ~120 | 每日复盘报告格式化 | P0 |		src/bin/monitor/daily_report_router.rs:64;src/bin/monitor/daily_report_router.rs:168	src/bin/monitor/daily_report_router.rs:64;src/bin/monitor/daily_report_router.rs:168	src/bin/monitor/daily_report_router.rs:64;src/bin/monitor/daily_report_router.rs:168			partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000038	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	237	feature	**总计新增：~780 行。零重构。零破坏。**	*总计新增：~780 行。零重构。零破坏。**							unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000039	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	243	feature	| **P0** | `broker/manual.rs` — CSV 持仓/成交读取 | 1h | 无 |	| **P0** | `broker/manual.rs` — CSV 持仓/成交读取 | 1h | 无 |		src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22;candidate:src/broker.rs	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/broker.rs:118;src/broker.rs:151		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000040	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	244	feature	| **P0** | `review/trade_journal.rs` — 交易日志 | 2h | broker |	| **P0** | `review/trade_journal.rs` — 交易日志 | 2h | broker |		candidate:src/broker.rs,src/bin/monitor/health.rs				2.4	unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000041	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	245	feature	| **P0** | `review/daily_report.rs` — 复盘报告 | 1h | trade_journal |	| **P0** | `review/daily_report.rs` — 复盘报告 | 1h | trade_journal |		src/bin/monitor/daily_report_router.rs:64;src/bin/monitor/daily_report_router.rs:168	src/bin/monitor/daily_report_router.rs:64;src/bin/monitor/daily_report_router.rs:168	src/bin/monitor/daily_report_router.rs:64;src/bin/monitor/daily_report_router.rs:168			partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000042	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	246	feature	| **P0** | `bin/monitor.rs` — 接入 broker + review，盘后自动跑 | 1h | 以上全部 |	| **P0** | `bin/monitor.rs` — 接入 broker + review，盘后自动跑 | 1h | 以上全部 |		src/agent/multi_agent/cost_board.rs:14;src/auth/mod.rs:3;candidate:src/broker.rs,src/bin/monitor/health.rs	src/bin/monitor/dryrun_report.rs:81;src/bin/monitor/e2e_test.rs:5	src/agent/multi_agent/cost_board.rs:14;src/auth/operator.rs:3	src/auth/mod.rs:4;src/auth/operator.rs:4		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000043	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	247	feature	| **P1** | `review/pnl_attribution.rs` — 盈亏归因 | 2h | trade_journal |	| **P1** | `review/pnl_attribution.rs` — 盈亏归因 | 2h | trade_journal |							unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000044	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	248	feature	| **P1** | `review/equity_curve.rs` — 净值曲线 | 1h | broker |	| **P1** | `review/equity_curve.rs` — 净值曲线 | 1h | broker |		src/bin/monitor/main.rs:1529;src/bin/monitor/main.rs:1533;candidate:src/broker.rs,src/bin/monitor/health.rs	src/bin/monitor/main.rs:1529;src/bin/monitor/main.rs:1533	src/bin/monitor/main.rs:1529;src/bin/monitor/main.rs:1533	src/bin/monitor/main.rs:3415;src/bin/monitor/main.rs:5454		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000045	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	249	feature	| **P1** | 选股推荐调用 trend_analyzer | 1h | 无（trend_analyzer 已在） |	| **P1** | 选股推荐调用 trend_analyzer | 1h | 无（trend_analyzer 已在） |		src/breakout/mod.rs:5;src/lib.rs:49		src/lib.rs:49;src/lib.rs:65			partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000046	docs/_archive/pre-v9-history/architecture-v2-2026-06-15.md	251	feature	**P0 合计：~5 小时。P1 合计：~4 小时。全部 < 2 天。**	*P0 合计：~5 小时。P1 合计：~4 小时。全部 < 2 天。**							unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000047	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	8	bug	## 一、真正的架构问题（不是 v1/v2 讨论的那些）	一、真正的架构问题（不是 v1/v2 讨论的那些）							unresolved	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000048	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	23	acceptance	每加一个新功能，就多一种 Position 定义。v2 的 `broker/` 会让这个数字变成五。**这是系统的熵增方向，必须阻止。**	每加一个新功能，就多一种 Position 定义。v2 的 `broker/` 会让这个数字变成五。**这是系统的熵增方向，必须阻止。**		src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22;candidate:src/broker.rs	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/bin/monitor/health.rs:17;src/bin/monitor/health.rs:22	src/broker.rs:118;src/broker.rs:151		partial	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:no exact same-symbol four-layer proof
E000049	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	149	feature	- 不定义 trait。你永远只会有一个持仓数据源（你自己的账户）。单实现不需要抽象。	不定义 trait。你永远只会有一个持仓数据源（你自己的账户）。单实现不需要抽象。		candidate:src/data_provider/fallback.rs,src/data_provider/service.rs				2.1	unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000050	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	208	feature	### 2.4 Review Context — 盘后复盘（新增）	2.4 Review Context — 盘后复盘（新增）							unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000051	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	274	feature	杭电股份(603618) 持5天 +9.8% BIAS_5：+12% ⚠️ 乖离过高	杭电股份(603618) 持5天 +9.8% BIAS_5：+12% ⚠️ 乖离过高		src/monitor/news_ai.rs:88		src/monitor/news_ai.rs:88			partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000052	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	280	feature	- 新增了 `profit_factor`（盈亏比）和 `avg_win/avg_loss`——这才是个人交易者最该盯的指标。	新增了 `profit_factor`（盈亏比）和 `avg_win/avg_loss`——这才是个人交易者最该盯的指标。		src/review/equity.rs:16;src/review/equity.rs:113;src/bin/boll_macd_backtest.rs:121;src/bin/boll_macd_backtest.rs:140;src/agent/multi_agent/slices.rs:297		src/review/equity.rs:16;src/review/equity.rs:113			partial	medium	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000053	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	282	feature	### 2.5 Opportunity Context — 产业链挖掘 + 机会发现（新增）	2.5 Opportunity Context — 产业链挖掘 + 机会发现（新增）		candidate:src/opportunity/chain_mapper.rs,src/opportunity/bom_kb.rs					unverifiable	low	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof
E000054	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	335	completion_claim	资金验证：电子板块主力净流入852亿 ✅	资金验证：电子板块主力净流入852亿 ✅		candidate:src/market_analyzer/sector_monitor.rs,src/decision/sector_score.rs					unverifiable	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000055	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	338	completion_claim	✅ 中京电子(002579) — PCB制造商，行业涨价直接利好	✅ 中京电子(002579) — PCB制造商，行业涨价直接利好							unverifiable	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
E000056	docs/_archive/pre-v9-history/architecture-v3-2026-06-15.md	348	completion_claim	资金验证：建筑材料板块主力净流入45亿 ✅	资金验证：建筑材料板块主力净流入45亿 ✅		candidate:src/market_analyzer/sector_monitor.rs,src/decision/sector_score.rs					unverifiable	high	workspace_only_doc; automated exhaustive claim extraction; candidate mappings do not count as proof; conservative_demote:absence is not contradiction
