claim_id	source	line_range	claim_type	claim_text	normalized_requirement	superseded_by	implementation	production_caller	tests	failure_path	rules	status	confidence	notes
L17R2-BUG01	docs/v17.x/v17.1-r2-event-infrastructure.md	35-41	bug	Five P0 bugs: non-atomic dedup, L6 bypass, duplicate cooldown, no shutdown, sell emits no push	All five must be resolved in production		Reserve/commit improved; L6 remains opt-in; template cooldown still exists; graceful shutdown/PAS sell path absent	legacy governor remains production path	partial module tests	rollback on sink failure exists; shutdown failure unhandled	2.7,2.8,2.10	partial	high	Only the dedup reservation bug is substantially fixed.
L17R2-AC01	docs/v17.x/v17.1-r2-event-infrastructure.md	967	acceptance	At least two DomainEvent implementations	Two concrete events must implement the trait		PushDeliveryEvent and ReplayablePushEvent implement DomainEvent at c1e	published delivery event is production-observed	envelope/push_record tests	validation rejects blank fields	2.7	verified_complete	high	Second implementation arrived in c1e Task 1.
L17R2-AC02	docs/v17.x/v17.1-r2-event-infrastructure.md	968	acceptance	event tests 100%; overall >=90%	Run and preserve outputs		Test modules exist	N/A	No fixed-commit test output in docs	N/A		unverifiable	high	Static source cannot prove run result or percentage.
L17R2-AC03	docs/v17.x/v17.1-r2-event-infrastructure.md	969	acceptance	Release monitor builds	Fixed commit release build must pass		No committed build artifact	N/A	No fixed-commit output	N/A		unverifiable	high	Not executed in this read-only evidence audit.
L17R2-AC04	docs/v17.x/v17.1-r2-event-infrastructure.md	970	acceptance	Live test shows publish, dispatch, L6, L4 metrics	All layers must appear in live binary logs		Delivery observation publishes; no PushApplicationService; L6 requires env opt-in	`notify::deliver_and_record`	isolated tests only	legacy direct delivery remains	2.7,2.8	partial	high	Required end-to-end log evidence absent.
L17R2-AC05	docs/v17.x/v17.1-r2-event-infrastructure.md	971	acceptance	Legacy push_governor callers continue through migration	Compatibility must preserve callers while routing new stack		Legacy callers continue, but by old path rather than migration/PAS	many production callers	legacy tests	old path fallback is default	2.8	partial	high	Behavior preserved, migration not implemented.
L17R2-AC06	docs/v17.x/v17.1-r2-event-infrastructure.md	972	acceptance	Ten concurrent identical sell emits produce one push	Atomic dedup across full sell path		L4 reserve/commit supports atomic keys; sell→PAS path absent	paper sell uses paper_trade and delivery separately	L4 concurrency tests; no specified E2E	rollback clears reservation on sink fail	2.10	partial	medium	Cannot prove full chain.
L17R2-AC07	docs/v17.x/v17.1-r2-event-infrastructure.md	973	acceptance	SIGTERM drains within 30s	Collect handles and enforce graceful timeout		No CancellationToken/clean-drain implementation found	None	No test	forced shutdown path absent	2.7	unresolved	high	
L17R2-AC08	docs/v17.x/v17.1-r2-event-infrastructure.md	974	acceptance	SIGHUP reload preserves inflight push	Signal handler and atomic config swap		Config supports reload concepts; no r2 inflight push proof	config readers use global config	config unit tests only	parse failure falls back	2.9	partial	medium	
L17R2-AC09	docs/v17.x/v17.1-r2-event-infrastructure.md	975	acceptance	Sell write reaches PushApplicationService within 100ms	Wire DB write to unique push service		PushApplicationService absent	None	No test	No timeout/error path	2.7,2.8	unresolved	high	
L17R2-AC10	docs/v17.x/v17.1-r2-event-infrastructure.md	976	acceptance	--push/--test clean runtime exit	Remove process exit and drain tasks		No committed live exit evidence	binary modes exist	No exit integration test found	No drain timeout	2.7	unverifiable	medium	
L17R2-AC11	docs/v17.x/v17.1-r2-event-infrastructure.md	977	acceptance	At least five monitor event imports	Production binary must integrate event module broadly		Only delivery observation integration is substantive	`notify.rs` publishes audit event	grep count not pasted into doc	publish NoSubscribers is visible	2.7	partial	medium	Count is a weak proxy and completion rule is not met.
L17R2-AC12	docs/v17.x/v17.1-r2-event-infrastructure.md	978	acceptance	Delete template cooldown table	L4 is sole cooldown authority		`is_in_cooldown` and `record_cooldown` remain in `push_templates.rs`	used by template governor	cooldown tests preserve old table	N/A	2.10	unresolved	high	
L17R2-AC13	docs/v17.x/v17.1-r2-event-infrastructure.md	979	acceptance	Default full-push ignores full-position suppression	Default must remain audible		Governance defaults were changed to respect frozen; exact five-push scenario not evidenced	production governor	governance unit tests	denials are returned	2.6	partial	medium	
L17R2-AC14	docs/v17.x/v17.1-r2-event-infrastructure.md	980	acceptance	Governance banner and suppression warnings	Expose mode and each suppression		Startup banners exist for launch/L6/v17.4; exact governance banner/suppression key absent	startup main	banner tests partial	suppression warning incomplete	2.8	partial	high	
L17R2-AC15	docs/v17.x/v17.1-r2-event-infrastructure.md	981	acceptance	ReliableChannel bounded backpressure	1024-full returns immediately, warns and increments metric		ReliableChannel absent	None	No test	No backpressure policy	2.7	unresolved	high	
L17R2-AC16	docs/v17.x/v17.1-r2-event-infrastructure.md	982	acceptance	Shutdown rejects publish and completes inflight L6	Cancellation-aware publish path		EventBus has simple shutdown flag but no cancellation/drain/banner	No production shutdown caller	bus shutdown test only	inflight delivery not coordinated	2.7	partial	high	
L17R2-AC17	docs/v17.x/v17.1-r2-event-infrastructure.md	983	acceptance	DispatcherRegistry validates overlapping coverage	Warn duplicate coverage and preserve order		Exact-type EventDispatcherRegistry exists; prefix-overlap validator absent	global dispatcher observes delivery	dispatcher tests	duplicate registration behavior tested only for exact keys	2.10	partial	medium	
L17R2-AC18	docs/v17.x/v17.1-r2-event-infrastructure.md	739	acceptance	At least three sinks receive live test message	Route to 3 enabled sinks with >=1 success		Default monitor router registers exactly 2 sinks	L6 opt-in only	router unit tests; no live three-sink test	per-sink failures returned	2.8	unresolved	high	
L17R2-AC19	docs/v17.x/v17.1-r2-event-infrastructure.md	740	acceptance	Disabled sinks receive nothing	Sink enabled configuration must gate delivery		External sink types support enable flags; default router does not configure them	No production external-sink registration	external sink unit tests	Disabled behavior local only	2.8	partial	medium	
L17R2-AC20	docs/v17.x/v17.1-r2-event-infrastructure.md	741	acceptance	Failover stops at first successful sink	Deterministic ordered failover		SinkRouter implementation routes/retries but design semantics differ from stated round-robin stop	L6 opt-in	router tests	failure isolated	2.8	partial	medium	
L17R2-AC21	docs/v17.x/v17.1-r2-event-infrastructure.md	742	acceptance	Sink metrics startup banner and all-fail error	Expose enabled/health/outcomes		L6 startup logs names/count; no SinkMetrics banner or all-fail production alarm	monitor warms router	health-check tests	all-fail returns SinkError	2.7,2.8	partial	high	
L17R2-AC22	docs/v17.x/v17.1-r2-event-infrastructure.md	743	acceptance	No direct channel calls remain	All delivery must route via PAS/SinkRouter		`notify.rs` still directly calls push_wechat and helpers; default path is direct	production default path	legacy tests	failure returns false	2.8	unresolved	high	
L17R2-AC23	docs/v17.x/v17.1-r2-event-infrastructure.md	744	acceptance	Remove four bypasses; Frozen deny remains	Governance fix without bypasses		Frozen governance tests exist; temporary FORCE bypass remains intentionally	production governance	account-mode tests	PUSH_NORMAL_FORCE escape hatch	2.6	partial	high	
L17R2-AC24	docs/v17.x/v17.1-r2-event-infrastructure.md	868	acceptance	Auction sealed event within 5s	Wire sealed source through event stack		No AuctionSealed DomainEvent/PAS path	legacy auction templates only	legacy timing tests	missing sealed_type degrades	2.4	unresolved	high	
L17R2-AC25	docs/v17.x/v17.1-r2-event-infrastructure.md	869	acceptance	Auction volume event within 5s	Wire second auction window		No AuctionVolume DomainEvent path	legacy dispatch exists	legacy tests	No event backpressure handling	2.4	unresolved	high	
L17R2-AC26	docs/v17.x/v17.1-r2-event-infrastructure.md	870	acceptance	Missing sealed_type may trigger on volume_ratio only	Fallback rule must be explicit and tested		No r2 sealed detector implementation	None	No matching test	Missing field fallback not implemented	2.2,2.3	unresolved	high	
L17R2-AC27	docs/v17.x/v17.1-r2-event-infrastructure.md	871	acceptance	Lunch window suppresses all but emergency	Enforce timing rule centrally		No central event timing gate	Legacy schedules vary	No live time-window evidence	No consolidated skip audit	2.10	unresolved	medium	
L17R2-AC28	docs/v17.x/v17.1-r2-event-infrastructure.md	872	acceptance	Missing cron config defaults to audible 5s scan/5m cooldown	Default must be tested and logged		OpportunitySchedule has defaults, but stated r2 cron fields/event cadence are absent	legacy scheduler	config tests partial	missing config falls back	2.4,2.9	partial	medium	
L17M-AC18	docs/v17.x/v17.3-migration-and-persistence.md	814	acceptance	30 PushKind dispatchers registered	Migrate 30 kinds to dispatcher registry		Only delivery observation dispatcher exists	No 30-kind production registration	dispatcher tests only	missing handler increments unhandled	2.8	unresolved	high	
L17M-AC19	docs/v17.x/v17.3-migration-and-persistence.md	815	acceptance	Migration tests and 30 cases pass	Provide migration module/test suite		`src/event/migration` absent	None	No suite	N/A		unresolved	high	
L17M-AC20	docs/v17.x/v17.3-migration-and-persistence.md	816	acceptance	Buy write reaches PAS in 100ms	Wire buy source event		PAS absent	None	No test	No delivery timeout	2.7,2.8	unresolved	high	
L17M-AC21	docs/v17.x/v17.3-migration-and-persistence.md	817	acceptance	Legacy bridge covers four buses	Implement bridge while main uses r2 bus		legacy_bus_bridge absent	Old buses still publish with zero consumers	No bridge tests	Events can be dropped with no subscriber	2.7	unresolved	high	
L17M-AC22	docs/v17.x/v17.3-migration-and-persistence.md	818	acceptance	Broadcast channel sites <=3	Consolidate old buses		Multiple old broadcast buses remain	zero-consumer producers remain	No fixed-output grep in doc	No bridge	2.7	unresolved	high	
L17M-AC23	docs/v17.x/v17.3-migration-and-persistence.md	819	acceptance	L3 render covers 30 kinds	Typed rendering with no panic/missing arm		`event/l3_render.rs` absent	legacy templates render directly	legacy render tests	legacy missing data defaults remain	2.2,2.8	unresolved	high	
L17M-AC24	docs/v17.x/v17.3-migration-and-persistence.md	820	acceptance	Global and per-kind daily limits	Central L5 limit policy		`event/l5_limit.rs` absent; scattered cooldown/budgets remain	legacy governors	legacy tests	No single fail-closed limiter	2.6,2.10	unresolved	high	
L17M-AC25	docs/v17.x/v17.3-migration-and-persistence.md	821	acceptance	Persistent push records require kind/code/trace_id	Schema and writer must persist nonempty provenance		PushRecord DTO has kind/code/trace but code optional and no DB table/writer	No persistence caller	DTO tests reject missing kind/channel/latency	conversion errors explicit	2.7	partial	high	c1e Task 1 is module-only.
L17M-AC26	docs/v17.x/v17.3-migration-and-persistence.md	822	acceptance	JSONL writer skips replay but preserves concurrent live events	Persist live stream without replay loop		`replay_of` and ReplayablePushEvent exist; committed JsonlWriter absent	None	DTO tests only	No writer I/O failure policy	2.7	partial	high	Uncommitted workspace writer excluded.
L17M-AC27	docs/v17.x/v17.3-migration-and-persistence.md	823	acceptance	Replay defaults dry-run; force required for real push	CLI safety gate		Replay CLI absent	None	No test	No guard	2.5,2.7	unresolved	high	
L17M-AC28	docs/v17.x/v17.3-migration-and-persistence.md	824	acceptance	History CLI returns date/code events	Implement bounded history query		HistoryQuery/CLI absent	None	No test	No DB error handling	2.7	unresolved	high	
L17M-AC29A	docs/v17.x/v17.3-migration-and-persistence.md	825	acceptance	Monitor event integration count >=8	Production must integrate migration broadly		Only observation path integrated	`notify.rs` publishes delivery audit	No reproduced count	No PAS	2.7	partial	medium	
L17M-AC30A	docs/v17.x/v17.3-migration-and-persistence.md	826	acceptance	Daily JSONL append and seven-day cleanup	Run writer during monitor		Committed writer absent	None	No I/O integration test	No retention cleanup	2.7	unresolved	high	
L17M-AC29B	docs/v17.x/v17.3-migration-and-persistence.md	633	acceptance	24h production push success rate	HistoryQuery returns nonempty RateStats		HistoryQuery absent	None	No test	No empty-history diagnostic	2.7	unresolved	high	
L17M-AC30B	docs/v17.x/v17.3-migration-and-persistence.md	634	acceptance	Below 95% startup warning	Health banner uses persistent outcomes		Absent	None	No test	No alert	2.7	unresolved	high	
L17M-AC31	docs/v17.x/v17.3-migration-and-persistence.md	635	acceptance	Below 80% error with cooldown	Alert severe delivery failures without spam		Absent	None	No test	No alert cooldown	2.7,2.10	unresolved	high	
L17M-AC32	docs/v17.x/v17.3-migration-and-persistence.md	636	acceptance	History success-rate CLI output	CLI must print table in test mode		Absent	None	No test	N/A	2.7	unresolved	high	
L17M-AC33	docs/v17.x/v17.3-migration-and-persistence.md	637	acceptance	PushRecord contains per-sink outcomes	Persist at least one sink result		c1e PushRecord has one `channel` and aggregate outcome, no sink_results_json	No persistence caller	DTO tests only	No per-sink failure provenance	2.7	unresolved	high	
L174-AC34-37	docs/v17.x/v17.4-news-and-review.md	494-497	acceptance	High-score news is immediate and four daily Top3 windows are observable in persistent sink results	Run event-driven NewsFlashGate and persist sink results		NewsFlashGate and four-window gate exist, but tolerance is five minutes rather than ±1 minute and committed persistence/sink_results_json is absent	`news_monitor_loop` ticks aggregator and calls `push_flash_decisions`	Gate unit tests cover threshold, dedup, windows	Provider stubs can yield no events; delivery persistence absent	2.1,2.2,2.4,2.7	partial	high	AC34/35 functional core exists; AC37 cannot pass at c1e
L174-AC38-41	docs/v17.x/v17.4-news-and-review.md	501-504	acceptance	13:00 snapshot, 15:35 daily review, kind-specific win rate, graceful quote failure	Operate paper review schedule and persistent attribution		13:00 snapshot path exists; no 15:35-specific scheduler or HistoryQuery success-rate implementation found; snapshot loader returns defaults on DB failure	13:00 branch in monitor main calls paper review push	Renderer/snapshot tests exist	DB failure collapses to default snapshot; quote failure can become zero	2.1,2.2,2.4,2.7	partial	high	AC41's graceful 0.0 conflicts with red lines 2.1/2.2 when treated as data
L174-AC42-44	docs/v17.x/v17.4-news-and-review.md	508-510	acceptance	Disable SectorTop by default, score<75 silent, unchanged holding health dedup	Apply noise-governance controls		All three controls exist; SectorTop remains behind explicit rollback env and state hash dedup is process-local	Production main has SectorTop gate, screener threshold, holding state hash	Default and hash sequence tests exist	Restart loses holding-state dedup memory	2.10	verified_complete	high	Verified against the stated default/rollback behavior, not durable dedup
L174-AC45-48	docs/v17.x/v17.4-news-and-review.md	514-520	acceptance	Breaking rollback, defaults, silence logs, three-layer completion	Provide verifiable deployment evidence		Rollback/banner/default tests and production integration exist, but persistent sink evidence and live-binary evidence are not committed	Production startup and monitor loops call the paths	Unit/integration source assertions exist	Live provider/push success not proven	2.1,2.4,2.7	partial	high	
L174-AC49-50	docs/v17.x/v17.4-news-and-review.md	720-721	acceptance	22 active kinds use L1 EventBus and four dead kinds are deprecated	Migrate all listed kinds to L1 and explicitly deprecate dead variants		Most production pushes still call push_governor directly; dead-kind strategy was later revised to audit markers	Only delivery observations use new event bus	No 22-kind integration proof	Direct path remains default	2.7	unresolved	high	Superseding v17.7/v17.8 retract deletion-before-audit
L175-AC51-60	docs/v17.x/v17.5-batch2-push-migration.md	484-493	acceptance	Ten push themes migrate to EventBus with stated timing/dedup	Create normalized events and replace direct callers		Legacy PushKind variants and direct `push_governor` call sites remain; no corresponding typed EventKind set at c1e	Direct legacy calls in monitor main	Legacy template/governance tests only	No migration-wide persistence or replay	2.7,2.10	unresolved	high	Names in the spec are not present as event types
L175-AC61-63	docs/v17.x/v17.5-batch2-push-migration.md	497-499	acceptance	Legacy variants are audited before deletion and recoverable	Mark transitional variants and preserve rollback		`is_legacy_v17_5` marks four corrected variants and has tests; variants are intentionally retained	Audit is invoked by notify governance	Predicate tests cover exact count	Final deletion deferred	2.10	partial	high	Stage achieved, final removal not achieved
L175-AC64-66	docs/v17.x/v17.5-batch2-push-migration.md	503-505	bugfix	Frozen governance reset and BR-021 event persistence	Do not globally deny safe pushes; reset at 08:30; persist reset event		Reset code exists, but sink_results_json persistence does not	Monitor has timed reset path	Guard/reset unit tests present	No durable event record	2.7,2.10	partial	medium	
L175-AC67	docs/v17.x/v17.5-batch2-push-migration.md	509	acceptance	Ten production EventKinds pass module/integration/live completion	Prove full production migration		No ten new EventKinds or integration count at c1e	None for claimed typed events	No matching completion test	Legacy direct path remains	2.7	unresolved	high	
L176-AC68-72	docs/v17.x/v17.6-batch3-push-migration.md	391-395	acceptance	Nine DailyReport sub-kinds route through L1 with 30-minute dedup and test override	Implement complete DailyReport typed-event migration		Router implements only three sub-kinds and only one production caller; it calls push_governor_v3 directly rather than L1 EventBus	One FactorIC call plus startup audit	Router unit tests cover three sub-kinds	Six planned call sites/sub-kinds absent	2.7,2.10	partial	high	Spec comment itself documents compatibility path, contradicting nine-call completion
L176-AC73-75	docs/v17.x/v17.6-batch3-push-migration.md	399-401	acceptance	Calendar, fund inflow, turnover events migrate with cooldowns	Replace legacy pushes with typed events		No corresponding typed EventKind implementations found	Legacy PushKind routes remain	Cooldown/template tests only	No persistence/replay	2.7,2.10	unresolved	high	
L176-AC76-79	docs/v17.x/v17.6-batch3-push-migration.md	405-411	acceptance	Delete three enum variants, preserve rollback, and prove completion	Finish audited migration		The three variants remain and router calls them compatibility mappings; no v176 env path found	One compatibility caller	Predicate/router tests	Final deletion and live proof absent	2.7	unresolved	high	
L177-AC80-85	docs/v17.x/v17.7-batch4-dead-code-cleanup.md	319-325	acceptance	Mark six targets, then delete after audit with adapter/tests/archive/rollback	Complete staged dead-code retirement		Stage marker/audit and tests exist for ten combined v17.7/v17.8 targets; enum deletion, adapter cleanup, env rollback and claimed archive total are not final	Notify governance emits audit visibility	Marker count tests exist	Final retirement intentionally deferred	2.7	partial	high	Document explicitly revises AC80 into stage vs final
L178-AC86-92	docs/v17.x/v17.8-final-batch-cleanup.md	310-322	acceptance	Mark then delete final six, remove dispatchers, archive all, prove 100 percent before completion banner	Finish series without false completion		Stage marker exists; document retracts completion claims; variants/mappings and dispatch functions remain, no completion banner should be emitted	Notify governance audits targets	Marker tests exist	Final audit/deletion absent	2.7	partial	high	Stale completion prose later in file is contradicted by top revision
L171-OLD	docs/v17.x/v17.1-push-timing-redesign.md	11,387-398	acceptance	Original v17.1 timing/event-bus acceptance	Implement original mpsc design	v17.1-r2	Document explicitly says superseded by v17.1-r2	N/A	N/A	N/A	2.7	superseded	high	Do not score old AC1-AC8 separately
L172-OLD	docs/v17.x/v17.2-eventbus-broadcast-persistence.md	11,648-660	acceptance	Original broadcast JSONL/replay/history design	Implement broadcast design	v17.1-r2 and v17.3	Document explicitly says abandoned	N/A	N/A	N/A	2.7	superseded	high	Replacement itself is still incomplete
L161-ORDER	docs/v16.x/v16.1-virtual-trading-redesign.md	173-335,834-849	feature	Paper order book, positions and five-state order state machine	Persist separate paper_orders/paper_positions and manage lifecycle	v16.2/v16.3 domain redesign	No paper_order.rs or paper_position.rs and no corresponding tables at c1e	None	No lifecycle tests	Paper fills bypass pending-order lifecycle	2.6,2.7	unresolved	high	Only paper_trades exists
L161-RISK	docs/v16.x/v16.1-virtual-trading-redesign.md	336-427	feature	Paper buy path applies pre-trade risk checks	Reject unsafe simulated orders explicitly		paper_trade calls risk_adapter before insert	Production paper simulation	Risk adapter and paper_trade tests	Portfolio state query failure can be converted to fabricated values elsewhere	2.1,2.2,2.6	partial	high	Core seam exists but cash/position authority is not trustworthy end to end
L161-SELL	docs/v16.x/v16.1-virtual-trading-redesign.md	428-598	feature	Position ledger, sell engine, exit priority and T+1/T+3/T+5 tracking	Operate auditable virtual portfolio lifecycle		paper_engine aggregates paper_trades and simulates sells; no paper_positions ledger or exit_signals module; average-cost quote fallback exists	Monitor ticks paper_engine	paper_engine unit tests	Quote failure falls back to avg_cost and state failure fabricates zeros	2.1,2.2,2.3,2.7	partial	high	
L161-SOURCES	docs/v16.x/v16.1-virtual-trading-redesign.md	599-735,865-873	feature	All eight VirtualReason sources enter one order path	Unify all paper-entry sources	v16.3 strategy/domain model	Multiple push templates record pushed_stocks; no complete eight-source order-book path	Several template production callers	Per-module tests, no eight-source E2E evidence	Some source providers are stubs	2.1,2.7	partial	medium	
L161-DOD	docs/v16.x/v16.1-virtual-trading-redesign.md	875-938,1003-1017	acceptance	Module, integration, live and red-line evidence all pass	Prove v16.1 end to end		Missing order/position modules make stated DoD impossible	Partial monitor integration	No full v16.1 E2E artifact	Failure-path evidence incomplete	2.1,2.3,2.6,2.7	unresolved	high	
L162-KERNEL	docs/v16.x/v16.2-trading-kernel-redesign.md	58-246,369-548	feature	Eight engines communicate through reusable event bus	Run a production trading kernel rather than isolated modules	v16.3 replaces one bus with three	Domain modules/types exist in later form, but no production consumer graph proves the kernel loop	Only paper engine and monitor legacy orchestration are active	Module tests dominate	Unconsumed bus events create silent dead paths	2.7	partial	high	
L162-DOD	docs/v16.x/v16.2-trading-kernel-redesign.md	607-738,788-802	acceptance	Twelve commits and E2E/live verification close the redesign	Prove engines and callers end to end	v16.3/v16.4	No committed live completion evidence; several proposed modules were reshaped or never wired	Partial legacy integration	No matching eight-engine E2E	No system-level recovery proof	2.7	unresolved	high	
L163-R1R2	docs/v16.x/v16.3-domain-model-event-driven.md	1073-1114	feature	Auction orders and slippage-protected execution	Apply timing and slippage gates		Risk adapter has slippage checks, but no pending auction order lifecycle	paper_trade production path	Focused tests	No real quote/order state authority	2.3,2.6,2.7	partial	high	
L163-R3R5	docs/v16.x/v16.3-domain-model-event-driven.md	1115-1243	feature	Persist pushed stocks, monitor intraday, and review post-close	Close signal-to-review loop on real records		pushed_stocks writer and intraday/evening consumer code exist and are called by monitor	Production push templates and monitor	Module tests; no live evidence	Several input feeds can be empty stubs	2.1,2.4,2.7	partial	high	
L163-DOMAIN	docs/v16.x/v16.3-domain-model-event-driven.md	95-674	architecture	Eight domain objects, immutable execution, performance snapshots, three buses	Use explicit domain model and asynchronous flow		Types, three buses, registry, decision layers and performance snapshot exist	Only TradingBus has production publishers; no production subscribers found; Signal/System buses are health-probed only	Bus/type tests exist	Broadcast without consumers silently discards business events	2.7	partial	high	Deep-module skeleton is not a functioning kernel
L163-STRATEGY	docs/v16.x/v16.3-domain-model-event-driven.md	481-619,817-867	feature	Decision three layers and dynamic StrategyRegistry are production assembled	Route live signals through registered strategies and policy		FeatureBuilder/ScoreCalculator/DecisionPolicy and register_all exist, but fixed-SHA grep finds no production invocation	None outside tests	Unit tests only	No empty-registry production guard	2.7	unresolved	high	
L163-PLAN	docs/v16.x/v16.3-development-plan.md	43-408	plan	Four implementation commits deliver risk, push pool, monitoring, sources and sell rules	Implement v16.3 business slice		Individual pieces exist; whole slice is not proven and contains bad-data fallbacks	Monitor calls several pieces	Focused tests	No authoritative quote/portfolio state	2.1,2.2,2.3,2.7	partial	high	
L164-BUS	docs/v16.x/v16.4-design.md	126-180	feature	Three production buses replace the old EventBus	Wire producers and consumers across business modules		Bus structs exist; TradingBus has two publishers, no production consumer; SignalBus/SystemBus have no business publishers/consumers	Paper engine publishes TradingBus only	Bus isolation tests	Messages may have zero receivers	2.7	partial	high	
