# domain=stock_analysis.br180.whole_application_legacy_catalog.v1; business-rule=BR-180
# design=docs/superpowers/specs/2026-07-28-selection-release-closure-amendment-design.md sections 3 and 4.1
# frozen-shape=53 tables + 44 explicit indexes + 63 triggers
# columns=kind|name|tbl_name|ddl_id (source_line is the real non-normalized fixture line)
index|idx_account_mode_log_ts|account_mode_log|legacy-v1.index.idx_account_mode_log_ts
index|idx_chain_intelligence_chain_order|chain_intelligence_chains|legacy-v1.index.idx_chain_intelligence_chain_order
index|idx_chain_intelligence_member_order|chain_intelligence_members|legacy-v1.index.idx_chain_intelligence_member_order
index|idx_chain_intelligence_visible_date|chain_intelligence_batches|legacy-v1.index.idx_chain_intelligence_visible_date
index|idx_daily_change_confirmation_exact|daily_change_confirmation|legacy-v1.index.idx_daily_change_confirmation_exact
index|idx_data_acquisition_audit_provider|data_acquisition_audit|legacy-v1.index.idx_data_acquisition_audit_provider
index|idx_event_seen_simhash_seen_at|event_seen_simhash|legacy-v1.index.idx_event_seen_simhash_seen_at
index|idx_execution_tracking_code|execution_tracking|legacy-v1.index.idx_execution_tracking_code
index|idx_execution_tracking_plan_id|execution_tracking|legacy-v1.index.idx_execution_tracking_plan_id
index|idx_factor_snapshot_date|factor_snapshot|legacy-v1.index.idx_factor_snapshot_date
index|idx_news_ai_assessment_source|news_ai_assessment|legacy-v1.index.idx_news_ai_assessment_source
index|idx_order_audit_business_id|order_audit|legacy-v1.index.idx_order_audit_business_id
index|idx_paper_trades_code|paper_trades|legacy-v1.index.idx_paper_trades_code
index|idx_paper_trades_status|paper_trades|legacy-v1.index.idx_paper_trades_status
index|idx_position_adjustments_code|position_adjustments|legacy-v1.index.idx_position_adjustments_code
index|idx_position_adjustments_effective|position_adjustments|legacy-v1.index.idx_position_adjustments_effective
index|idx_position_chain_assignment_code|position_chain_assignment|legacy-v1.index.idx_position_chain_assignment_code
index|idx_pushed_stocks_code|pushed_stocks|legacy-v1.index.idx_pushed_stocks_code
index|idx_pushed_stocks_time|pushed_stocks|legacy-v1.index.idx_pushed_stocks_time
index|idx_pushed_stocks_uncon|pushed_stocks|legacy-v1.index.idx_pushed_stocks_uncon
index|idx_real_account_snapshot_observed|real_account_snapshot|legacy-v1.index.idx_real_account_snapshot_observed
index|idx_selection_candidate_run_date|selection_candidates|legacy-v1.index.idx_selection_candidate_run_date
index|idx_selection_completion_event|selection_event_completions|legacy-v1.index.idx_selection_completion_event
index|idx_selection_event_pending|selection_event_inbox|legacy-v1.index.idx_selection_event_pending
index|idx_selection_outcome_due|selection_outcomes|legacy-v1.index.idx_selection_outcome_due
index|idx_selection_visibility_run|selection_visibility_receipts|legacy-v1.index.idx_selection_visibility_run
index|idx_stock_position_chain_assignment_id|stock_position|legacy-v1.index.idx_stock_position_chain_assignment_id
index|idx_stock_position_chain_name|stock_position|legacy-v1.index.idx_stock_position_chain_name
index|idx_stock_position_st_type|stock_position|legacy-v1.index.idx_stock_position_st_type
index|ix_analysis_result_code|analysis_result|legacy-v1.index.ix_analysis_result_code
index|ix_analysis_result_date|analysis_result|legacy-v1.index.ix_analysis_result_date
index|ix_lhb_daily_code|lhb_daily|legacy-v1.index.ix_lhb_daily_code
index|ix_lhb_daily_code_date|lhb_daily|legacy-v1.index.ix_lhb_daily_code_date
index|ix_lhb_daily_trade_date|lhb_daily|legacy-v1.index.ix_lhb_daily_trade_date
index|ix_pred_date|prediction_tracker|legacy-v1.index.ix_pred_date
index|ix_stock_daily_code|stock_daily|legacy-v1.index.ix_stock_daily_code
index|ix_stock_daily_code_date|stock_daily|legacy-v1.index.ix_stock_daily_code_date
index|ix_stock_daily_date|stock_daily|legacy-v1.index.ix_stock_daily_date
index|ix_stock_position_code|stock_position|legacy-v1.index.ix_stock_position_code
index|ix_stock_position_status|stock_position|legacy-v1.index.ix_stock_position_status
index|ix_topic_novelty_created_at|topic_novelty_history|legacy-v1.index.ix_topic_novelty_created_at
index|ix_trades_code|trades|legacy-v1.index.ix_trades_code
index|uniq_paper_trades_plan_id|paper_trades|legacy-v1.index.uniq_paper_trades_plan_id
trigger|agent_scratchpad_no_delete|agent_scratchpad|legacy-v1.trigger.agent_scratchpad_no_delete
trigger|agent_scratchpad_no_update|agent_scratchpad|legacy-v1.trigger.agent_scratchpad_no_update
trigger|closing_valuation_item_no_delete|closing_valuation_item|legacy-v1.trigger.closing_valuation_item_no_delete
trigger|closing_valuation_item_no_update|closing_valuation_item|legacy-v1.trigger.closing_valuation_item_no_update
trigger|closing_valuation_run_no_delete|closing_valuation_run|legacy-v1.trigger.closing_valuation_run_no_delete
trigger|closing_valuation_run_no_update|closing_valuation_run|legacy-v1.trigger.closing_valuation_run_no_update
trigger|trg_chain_intelligence_batches_no_delete|chain_intelligence_batches|legacy-v1.trigger.trg_chain_intelligence_batches_no_delete
trigger|trg_chain_intelligence_batches_no_update|chain_intelligence_batches|legacy-v1.trigger.trg_chain_intelligence_batches_no_update
trigger|trg_chain_intelligence_chains_no_delete|chain_intelligence_chains|legacy-v1.trigger.trg_chain_intelligence_chains_no_delete
trigger|trg_chain_intelligence_chains_no_update|chain_intelligence_chains|legacy-v1.trigger.trg_chain_intelligence_chains_no_update
trigger|trg_chain_intelligence_input_evidence_no_delete|chain_intelligence_input_evidence|legacy-v1.trigger.trg_chain_intelligence_input_evidence_no_delete
trigger|trg_chain_intelligence_input_evidence_no_update|chain_intelligence_input_evidence|legacy-v1.trigger.trg_chain_intelligence_input_evidence_no_update
trigger|trg_chain_intelligence_members_no_delete|chain_intelligence_members|legacy-v1.trigger.trg_chain_intelligence_members_no_delete
trigger|trg_chain_intelligence_members_no_update|chain_intelligence_members|legacy-v1.trigger.trg_chain_intelligence_members_no_update
trigger|trg_chain_intelligence_rejections_no_delete|chain_intelligence_rejections|legacy-v1.trigger.trg_chain_intelligence_rejections_no_delete
trigger|trg_chain_intelligence_rejections_no_update|chain_intelligence_rejections|legacy-v1.trigger.trg_chain_intelligence_rejections_no_update
trigger|trg_chain_intelligence_visibility_receipts_no_delete|chain_intelligence_visibility_receipts|legacy-v1.trigger.trg_chain_intelligence_visibility_receipts_no_delete
trigger|trg_chain_intelligence_visibility_receipts_no_update|chain_intelligence_visibility_receipts|legacy-v1.trigger.trg_chain_intelligence_visibility_receipts_no_update
trigger|trg_daily_change_confirmation_chain_no_delete|daily_change_confirmation_chain|legacy-v1.trigger.trg_daily_change_confirmation_chain_no_delete
trigger|trg_daily_change_confirmation_chain_no_update|daily_change_confirmation_chain|legacy-v1.trigger.trg_daily_change_confirmation_chain_no_update
trigger|trg_daily_change_confirmation_no_delete|daily_change_confirmation|legacy-v1.trigger.trg_daily_change_confirmation_no_delete
trigger|trg_daily_change_confirmation_no_update|daily_change_confirmation|legacy-v1.trigger.trg_daily_change_confirmation_no_update
trigger|trg_data_acquisition_audit_chain_no_delete|data_acquisition_audit_chain|legacy-v1.trigger.trg_data_acquisition_audit_chain_no_delete
trigger|trg_data_acquisition_audit_chain_no_update|data_acquisition_audit_chain|legacy-v1.trigger.trg_data_acquisition_audit_chain_no_update
trigger|trg_data_acquisition_audit_no_delete|data_acquisition_audit|legacy-v1.trigger.trg_data_acquisition_audit_no_delete
trigger|trg_data_acquisition_audit_no_update|data_acquisition_audit|legacy-v1.trigger.trg_data_acquisition_audit_no_update
trigger|trg_news_ai_assessment_chain_no_delete|news_ai_assessment_chain|legacy-v1.trigger.trg_news_ai_assessment_chain_no_delete
trigger|trg_news_ai_assessment_chain_no_update|news_ai_assessment_chain|legacy-v1.trigger.trg_news_ai_assessment_chain_no_update
trigger|trg_news_ai_assessment_no_delete|news_ai_assessment|legacy-v1.trigger.trg_news_ai_assessment_no_delete
trigger|trg_news_ai_assessment_no_update|news_ai_assessment|legacy-v1.trigger.trg_news_ai_assessment_no_update
trigger|trg_order_audit_chain_no_delete|order_audit_chain|legacy-v1.trigger.trg_order_audit_chain_no_delete
trigger|trg_order_audit_chain_no_update|order_audit_chain|legacy-v1.trigger.trg_order_audit_chain_no_update
trigger|trg_order_audit_no_delete|order_audit|legacy-v1.trigger.trg_order_audit_no_delete
trigger|trg_order_audit_no_update|order_audit|legacy-v1.trigger.trg_order_audit_no_update
trigger|trg_order_audit_validate_insert|order_audit|legacy-v1.trigger.trg_order_audit_validate_insert
trigger|trg_paper_trades_order_safety_insert|paper_trades|legacy-v1.trigger.trg_paper_trades_order_safety_insert
trigger|trg_paper_trades_order_safety_update|paper_trades|legacy-v1.trigger.trg_paper_trades_order_safety_update
trigger|trg_position_chain_assignment_no_delete|position_chain_assignment|legacy-v1.trigger.trg_position_chain_assignment_no_delete
trigger|trg_position_chain_assignment_no_update|position_chain_assignment|legacy-v1.trigger.trg_position_chain_assignment_no_update
trigger|trg_real_account_snapshot_no_delete|real_account_snapshot|legacy-v1.trigger.trg_real_account_snapshot_no_delete
trigger|trg_real_account_snapshot_no_update|real_account_snapshot|legacy-v1.trigger.trg_real_account_snapshot_no_update
trigger|trg_selection_candidates_no_delete|selection_candidates|legacy-v1.trigger.trg_selection_candidates_no_delete
trigger|trg_selection_candidates_no_update|selection_candidates|legacy-v1.trigger.trg_selection_candidates_no_update
trigger|trg_selection_event_completions_no_delete|selection_event_completions|legacy-v1.trigger.trg_selection_event_completions_no_delete
trigger|trg_selection_event_completions_no_update|selection_event_completions|legacy-v1.trigger.trg_selection_event_completions_no_update
trigger|trg_selection_event_inbox_no_delete|selection_event_inbox|legacy-v1.trigger.trg_selection_event_inbox_no_delete
trigger|trg_selection_event_inbox_no_update|selection_event_inbox|legacy-v1.trigger.trg_selection_event_inbox_no_update
trigger|trg_selection_feature_snapshots_no_delete|selection_feature_snapshots|legacy-v1.trigger.trg_selection_feature_snapshots_no_delete
trigger|trg_selection_feature_snapshots_no_update|selection_feature_snapshots|legacy-v1.trigger.trg_selection_feature_snapshots_no_update
trigger|trg_selection_outcomes_no_delete|selection_outcomes|legacy-v1.trigger.trg_selection_outcomes_no_delete
trigger|trg_selection_outcomes_no_update|selection_outcomes|legacy-v1.trigger.trg_selection_outcomes_no_update
trigger|trg_selection_runs_no_delete|selection_runs|legacy-v1.trigger.trg_selection_runs_no_delete
trigger|trg_selection_runs_no_update|selection_runs|legacy-v1.trigger.trg_selection_runs_no_update
trigger|trg_selection_visibility_receipts_no_delete|selection_visibility_receipts|legacy-v1.trigger.trg_selection_visibility_receipts_no_delete
trigger|trg_selection_visibility_receipts_no_update|selection_visibility_receipts|legacy-v1.trigger.trg_selection_visibility_receipts_no_update
trigger|trg_stock_position_order_safety_insert|stock_position|legacy-v1.trigger.trg_stock_position_order_safety_insert
trigger|trg_stock_position_order_safety_update|stock_position|legacy-v1.trigger.trg_stock_position_order_safety_update
trigger|user_account_summary_no_delete|user_account_summary|legacy-v1.trigger.user_account_summary_no_delete
trigger|user_account_summary_no_update|user_account_summary|legacy-v1.trigger.user_account_summary_no_update
trigger|user_position_snapshot_item_no_delete|user_position_snapshot_item|legacy-v1.trigger.user_position_snapshot_item_no_delete
trigger|user_position_snapshot_item_no_update|user_position_snapshot_item|legacy-v1.trigger.user_position_snapshot_item_no_update
trigger|user_position_snapshot_no_delete|user_position_snapshot|legacy-v1.trigger.user_position_snapshot_no_delete
trigger|user_position_snapshot_no_update|user_position_snapshot|legacy-v1.trigger.user_position_snapshot_no_update
